species	animal	sp_common	bird_ID	captive_status	sex	Location	Food_deprivation_time	Shyness	Neophobia	tPS1234	lPS1234	tDetour_reaching	lDetour_reaching	tLearning	lLearning	tReversal_learning	lReversal_learning	Bodyweight	Relative_brain_size	Call_rep	lCall_rep	Song_rep	lSong_rep	SongCall_rep	lSongCall_rep	VLC	VLTnum	OCnum	OCsongnum	Mnum	VLT
Sturnus_vulgaris	Sturnus_vulgaris	European starling	639	wild	M	L-shaped field	1.23	1.239974897	0.922885526	3.5	0.544	33	1.519	7	0.845	22	1.342	1.888	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	642	wild	M	L-shaped field	1.238	1.122752829	0.589275968	3.5	0.544	20	1.301	15	1.176	30	1.477	1.941	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	644	wild	M	L-shaped field	1.236	1.918603168	0.553676261	6	0.778	7	0.845	17	1.23	15	1.176	1.926	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	648	wild	M	L-shaped field	1.233	1.90198105	1.95541176	5.33	0.727	13	1.114	19	1.279	41	1.613	1.907	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	650	wild	M	Lake	1.243	1.971102992	0.521240627	7.25	0.86	11	1.041	28	1.447	44	1.643	1.925	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	651	wild	F	Lake	1.246	1.399152023	0.905665641	3.5	0.544	14	1.146	20	1.301	35	1.544	1.888	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	652	wild	M	L-shaped field	1.241	0.929511183	0.615391843	2.25	0.352	11	1.041	10	1	21	1.322	1.891	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	653	wild	M	L-shaped field	1.243	1.472202773	0.400134948	3.5	0.544	7	0.845	21	1.322	28	1.447	1.904	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	654	wild	M	L-shaped field	1.238	1.755516577	1.865551482	3.5	0.544	8	0.903	17	1.23	41	1.613	1.873	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	655	wild	M	Lake	1.25	1.714606748	0.748237059	6	0.778	8	0.903	17	1.23	39	1.591	1.937	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	656	wild	M	L-shaped field	1.246	1.21833015	1.300583737	4.25	0.628	13	1.114	25	1.398	26	1.415	1.883	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	657	wild	F	L-shaped field	1.253	0.786143552	1.063224423	5	0.699	11	1.041	23	1.362	28	1.447	1.821	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	658	wild	F	Swamp	1.26	1.159552405	0.361734548	6	0.778	11	1.041	9	0.954	14	1.146	1.867	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	659	wild	F	L-shaped field	1.29	0.952137138	0.076515608	3.75	0.574	11	1.041	7	0.845	24	1.38	1.92	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	660	wild	F	L-shaped field	1.288	0.832171334	0.80369978	1	0	32	1.505	17	1.23	31	1.491	1.88	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	661	wild	M	Condo	1.299	1.79842898	0.268340474	6.25	0.796	15	1.176	18	1.255	17	1.23	1.985	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	664	wild	M	L-shaped field	1.292	0.975663869	1.601902191	1.25	0.097	14	1.146	23	1.362	47	1.672	1.961	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	665	wild	M	L-shaped field	1.29	1.796351538	0.925462033	6.25	0.796	16	1.204	13	1.114	18	1.255	1.929	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	666	wild	M	L-shaped field	1.292	1.749396325	1.481107469	6.75	0.829	18	1.255	33	1.519	46	1.663	1.956	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
Cyanocitta_cristata	Cyanocitta_cristata	Blue Jay	667	wild	M	L-shaped field	1.288	1.092251753	0.223396612	5.75	0.76	8	0.903	31	1.491	68	1.833	1.976	0.58	45	1.653	3	0.602	48	1.681	2.65572373	4	1	1	1	Mimic
Sturnus_vulgaris	Sturnus_vulgaris	European starling	670	wild	M	L-shaped field	1.279	0.952137138	1.189702304	3.25	0.512	25	1.398	57	1.756	63	1.799	1.885	0.136	10	1	66.03	1.826	76.03	1.881	2.90728575	4	1	1	1	Mimic
